List of female tennis players - Wikipedia 
========================================= 

Name    |    Nationality           |           Birth     |     Death     |     Notes
                                                                                    
Betsy Abbas | Egypt |  |  | 1960 French Championships quarterfinalist
Julie Albert | United States |  |  | 1965 Wimbledon quarterfinalist
Leslie Allen | United States | 1957 |  | Ranked world No. 21 in 1983
Lili de Alvarez Valdene | Spain | 1905 | 1998 | Ranked world No. 2 at the end of the year in 1927 and 1928 • 1926/1927/1928 Wimbledon runner-up
Josette Amouretti | France | 1914 |  | 1954 French Championships quarterfinalist
Bianca Andreescu | Canada | 2000 |  | Ranked world No. 24 in 2019
Sabine Appelmans | Belgium | 1972 |  | Ranked world No. 16 in singles and world No. 21 in doubles in 1997 ◌ Singles: 1997 Australian Open quarterfinalist
Laura Arraya (Gildemeister) | Argentina | 1967 |  | Ranked world No. 14 in singles in 1990 and world No. 27 in doubles in 1988
Jeanne Arth | United States | 1935 |  | Doubles: 1959 Wimbledon champion • 1956/1959 U.S. champion
Shinobu Asagoe | Japan | 1976 |  | Ranked world No. 21 in singles in 2005 and world No. 13 in doubles in 2006
Cilly Aussem | Germany | 1909 | 1963 | 
Tracy Austin | United States | 1962 |  | 
Victoria Azarenka | Belarus | 1989 |  | 
Tímea Babos | Hungary | 1993 |  | Ranked world No. 25 in singles in 2016 and world No. 1 in doubles in 2018
Timea Bacsinszky | Switzerland | 1989 |  | Ranked world No.9 in singles in 2016.
Dianne Fromholtz Balestrat | Australia | 1956 |  | Ranked world No. 4 in 1979 • 1977 Australian Open women's doubles champion
Sybille Bammer | Austria | 1980 |  | Ranked world No. 19 in 2007
Sue Barker | United Kingdom | 1956 |  | 
Pilar Barril | Spain |  |  | 1961 French Championships quarterfinalist
Mona Barthel | Germany | 1990 |  | Ranked world No. 23 in singles in 2013 and world No. 63 in doubles in 2015
Jane Bartkowicz | United States | 1949 |  | Ranked world No. 8 at the end of the year in 1969
Marion Bartoli | France | 1984 |  | 
Ashleigh Barty | Australia | 1996 |  | 
Carling Bassett-Seguso | Canada | 1967 |  | Ranked world No. 8 in 1985
Yayuk Basuki | Indonesia | 1970 |  | Ranked world No. 19 in singles in 1997 and world No. 9 in doubles in 1998
Joan Hartigan Bathurst | Australia | 1912 | 2000 | 
Norma Baylon | Argentina | 1942 |  | 1964 Wimbledon quarterfinalist • 1965 French quarterfinalist • 1965/1966 U.S. quarterfinalist
Geraldine Beamish | United Kingdom | 1885 | 1972 | Ranked world No. 4 at the end of the year in 1923 • 1919/1922/1923 Wimbledon semifinalist • 1921 Wimbledon women's doubles runner-up • 1920 Olympic silver medalist in women's doubles
Claire Beckingham |  |  |  | Singles: 1926 Wimbledon quarterfinalist
Dája Bedáňová | Czech Republic | 1983 |  | Ranked world No. 16 in singles and world No. 34 in doubles in 2002
Irina-Camelia Begu | Romania | 1990 |  | Ranked world No. 22 in singles and world No. 30 in doubles in 2016
Belinda Bencic | Switzerland | 1997 |  | Ranked world No. 7 in singles and world No. 59 in doubles in 2016 ◌ Singles: 2014 US Open quarterfinalist
Mirka Koželuhová | Czechoslovakia |  |  | Singles: 1978 French Open quarterfinalist
Iveta Benešová | Czech Republic | 1983 |  | Ranked world No. 25 in singles in 2009 and world No. 17 in doubles in 2011
Kiki Bertens | Netherlands | 1991 |  | Ranked world No. 8 in singles in 2019 ◌ Singles: 2016 French open semifinalist and 2018 Wimbledon quarterfinalist
Pauline Betz Addie | United States | 1919 | 2011 | 
Louie Bickerton | Australia | 1902 | 1998 | 1927/1929/1931 Australian Championships women's doubles champion • 1935 Australian Championships mixed doubles champion
Blanche Bingley Hillyard | United Kingdom | 1863 | 1946 | 
Cara Black | Zimbabwe | 1979 |  | Ranked world No. 31 in singles in 1999 and world No. 1 in doubles in 2005 • 2007 Australian Open women's doubles champion • 2004/2005/2007 Wimbledon women's doubles champion • 2008 US Open women's doubles champion • 2010 Australian Open mixed doubles champion • 2003 French Open mixed doubles champion • 2004/2010 Wimbledon mixed doubles champion • 2008 US Open mixed doubles champion
Jill Blackman | Australia | 1936 |  | 1963 French Championships quarterfinalist
Molly Blair | United Kingdom |  |  | 1949 Wimbledon quarterfinalist
Manon Bollegraf | Netherlands | 1964 |  | Ranked world No. 29 in singles in 1990 and world No. 4 in doubles in 1990 ◌ Singles: 1992 French Open quarterfinalist ◌ Mixed doubles: 1997 Australian Open champion • 1989 French Open champion • 1991/1997 US Open champion
Nancye Wynne Bolton | Australia | 1916 | 2001 | 
Alona Bondarenko | Ukraine | 1984 |  | Ranked world No. 19 in singles and world No. 11 in doubles in 2008 • 2008 Australian Open women's doubles champion
Kateryna Bondarenko | Ukraine | 1986 |  | Ranked world No. 29 in singles in 2009 and world No. 9 in doubles in 2008 ◌ Doubles: 2008 Australian Open champion
Lisa Bonder-Kreiss | United States | 1965 |  | Ranked world No. 9 in 1984
Fiorella Bonicelli | Uruguay | 1951 |  | 1976 French Open women's doubles champion • 1975 French Open mixed doubles champion
Kristie Boogert | Netherlands | 1973 |  | Ranked world No. 29 in singles in 1996 and world No. 16 in doubles in 1997 ◌ Doubles: 2000 Olympic silver medalist ◌ Mixed doubles: 1994 French Open champion
Penelope Dora Boothby | United Kingdom | 1881 | 1970 | 
Linky Boshoff | South Africa | 1956 |  | 1974 Wimbledon quarterfinalist • 1977 French Open quarterfinalist
Annalisa Bossi | Italy |  |  | Singles: 1949 French semifinalist
Jean Bostock | United Kingdom |  |  | Ranked world No. 6 at the end of 1948 ◌ Singles: 1946 Wimbledon quarterfinalist
Eugenie Bouchard | Canada | 1994 |  | Ranked world No. 5 in singles in 2014 ◌ Singles: 2014 Wimbledon finalist • 2014 Australian Open semifinalist • 2014 French Open semifinalist
Kornelia Bouman | Netherlands | 1903 | 1998 | 
Elena Bovina | Russia | 1983 |  | Ranked world No. 14 in singles in 2005 and world No. 14 in doubles in 2003
Nicole (Provis) Bradtke | Australia | 1969 |  | Ranked world No. 24 in singles in 1993 and world No. 11 in doubles in 1992 • 1992 Olympic bronze medalist in women's doubles
Shirley Brasher | United Kingdom | 1934 |  | Ranked world No. 3 at the end of the year in 1957 • 1957 French Championships champion • 1957 French Championships women's doubles champion • 1958 French Championships mixed doubles champion
Heather Brewer Segal | Bermuda |  | 2006 | 1955/1958 French Championships semifinalist
Marguerite Broquedis | France | 1893 | 1983 | 
Louise Brough | United States | 1923 | 2014 | 
Mary Kendall Browne | United States | 1891 | 1971 | 
Ginette Bucaille | France |  |  | Ranked world No. 10 at the end of the year 1954 •  1954 French Championships runner-up
Iva Budařová | Czech Republic | 1960 |  | Ranked world No. 24 in 1983
Edda Buding | West Germany | 1936 | 2014 | 1959 Wimbledon quarterfinalist • 1956 French Championships quarterfinalist
Ilse Buding | West Germany |  |  | 1956 French Championships quarterfinalist
Maria Bueno | Brazil | 1939 |  | 
Bettina Bunge | West Germany | 1963 |  | Ranked world No. 7 in 1983
Coral Buttsworth | Australia | 1900 | 1985 | 
Angela Buxton | United Kingdom | 1934 |  | Ranked world No. 6 at the end of the year in 1956 • 1956 French Championships women's doubles champion • 1956 Wimbledon women's doubles champion
Mihaela Buzărnescu | Romania | 1988 |  | Ranked world No. 20 in singles in 2018 and world No. 28 in doubles in 2018
Jennifer Capriati | United States | 1976 |  | 
Mary Carillo | United States | 1957 |  | Ranked world No. 33 in singles in 1980 • 1977 French Open mixed doubles champion
Pam Casale | United States | 1963 |  | Ranked world No. 14 in 1984
Rosemary Casals | United States | 1948 |  | Ranked world No. 3 at the end of 1970 ◌ Doubles: 1967/1968/1969/1970/1971/1973 Wimbledon champion • 1967/1971/1974/1982 US Open champion ◌ Mixed doubles: 1970/1972 Wimbledon champion • 1975 US Open champion
Michelle (Torres) Casati | United States | 1967 |  | Ranked world No. 18 in 1984
Helen Gourlay Cawley | Australia | 1946 |  | 1972/1976/1977 (January)/1977 (December) Australian Open women's doubles champion • 1977 Wimbledon women's doubles champion
Arlette de Cazalet | France |  |  | Singles: 1951 French quarterfinalist
Sandra Cecchini | Italy | 1965 |  | Ranked world No. 15 in 1988
Anna Chakvetadze | Russia | 1987 |  | Ranked world No. 5 in singles and world No. 53 in doubles in 2007 ◌ Singles: 2007 US Open semifinalist • 2007 Australian Open quarterfinalist • 2007 French Open quarterfinalist
Dorothy Bundy Cheney | United States | 1916 | 2014 | 
Natasha Chmyreva | Soviet Union | 1958 |  | 1975 Australian Open semifinalist
Dominika Cibulková | Slovakia | 1989 |  | Ranked world No. 4 in singles in 2017 • Australian Open Runner-up 2014
Sorana Cîrstea | Romania | 1990 |  | Ranked world No. 21 in singles in 2013 and world No. 35 in doubles in 2009
Kim Clijsters | Belgium | 1983 |  | 
Amanda Coetzer | South Africa | 1971 |  | Ranked world No. 3 in singles in 1997 and world No. 15 in doubles in 1993
Lorraine Coghlan Robinson | Australia | 1937 |  | 1958 Wimbledon mixed doubles champion
J. S. Colegate |  |  |  | 1924 Wimbledon quarterfinalist
Patricia Coleman | Australia | 1953 |  | 1972 Australian Open quarterfinalist
Beryl Penrose Collier | Australia | 1930 |  | Ranked world No. 8 at the end of the year in 1955 • 1955 Wimbledon quarterfinalist
Maureen Connolly Brinker | United States | 1934 | 1969 | 
Helene Contostavlos | Greece |  |  | 1926 Wimbledon quarterfinalist
Sarah Palfrey Cooke | United States | 1912 | 1996 | 
Charlotte Cooper Sterry | United Kingdom | 1870 | 1966 | 
Belinda Cordwell | New Zealand | 1965 |  | Ranked world No. 17 in 1989
Alizé Cornet | France | 1990 |  | Ranked world No. 11 in singles in 2009
Margaret (Smith) Court | Australia | 1942 |  | 
Paule Courteix | France |  |  | 1959 French Championships quarterfinalist
Thelma Coyne Long | Australia | 1918 | 2015 | 
