List of New York Rangers players - Wikipedia
============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
McKenna, Steve | Canada | 2001–2002
McKenney, Don | Canada | 1962–1964
McKenzie, John | Canada | 1965–1966
McLeod, Cody | Canada | 2017–2019
McLeod, Jack | Canada | 1949–1955
McMahon, Mike | Canada | 1963–19661971–1972
McPhee, George | Canada | 1983–1987
McQuaid, Adam | Canada | 2018–2019
McReynolds, Brian | Canada | 1990–1991
McSorley, Marty | Canada | 1995–1996
Megna, Jayson | United States | 2015–2016
Meissner, Dick | Canada | 1963–1965
Melnyk, Larry | Canada | 1985–1988
Mertzig, Jan | Sweden | 1998–1999
Messier, Joby | Canada | 1992–1995
Messier, Mark | Canada | 1991–19972000–2004
Mickey, Larry | Canada | 1965–1968
Mickoski, Nick | Canada | 1948–1955
Middleton, Rick | Canada | 1974–1976
Mikol, Jim | Canada | 1964–1965
Milks, Hib | Canada | 1931–1932
Millen, Corey | United States | 1989–1992
Miller, J. T. | United States | 2012–2018
Miller, Kelly | United States | 1984–1987
Miller, Kevin | United States | 1988–1991
Miller, Warren | United States | 1979–1980
Mironov, Boris | Russia | 2002–2004
Moe, Bill | United States | 1944–1949
Mohns, Lloyd | Canada | 1943–1944
Moller, Randy | Canada | 1989–1992
Molyneaux, Larry | Canada | 1937–1939
Momesso, Sergio | Canada | 1995–1997
Monahan, Hartland | Canada | 1974–1975
Moore, Dominic | Canada | 2003–20062013–2016
Moore, John | United States | 2012–2015
Moore, Greg | United States | 2007–2008
More, Jayson | Canada | 1988–19891996–1997
Morenz, Howie | Canada | 1935–1936
Morris, Elwyn | Canada | 1948–1949
Morrison, Jim | Canada | 1960–1961
Morrison, Mark | Canada | 1981–1983
Mottau, Mike | United States | 2000–2002
Mullen, Brian | United States | 1987–1991
Murdoch, Don | Canada | 1976–1980
Murdoch, Murray | Canada | 1926–1937
Murphy, Mike | Canada | 1972–1974
Murphy, Ron | Canada | 1952–1957
Murray, Garth | Canada | 2003–2004
Murray, Rem | Canada | 2001–2003
Myles, Vic | Canada | 1942–1943
Namestnikov, Vladislav | Russia | 2017–2019
Nash, Rick | Canada | 2012–2018
Naslund, Markus | Sweden | 2008–2009
Ndur, Rumun | Nigeria | 1998–1999
Neckar, Stan | Czech Republic | 1998–1999
Nedomansky, Vaclav | Czech Republic | 1982–1983
Nedved, Petr | Czech Republic | 1994–19951998–2004
Neilson, Jim | Canada | 1962–1974
Nemchinov, Sergei | Russia | 1991–1997
Nemeth, Steve | Canada | 1987–1988
Nethery, Lance | Canada | 1980–1982
Nevin, Bob | Canada | 1963–1971
Newman, Dan | Canada | 1976–1978
Nicholls, Bernie | Canada | 1989–1992
Nicolson, Graeme | Canada | 1982–1983
Nielsen, Jeff | United States | 1996–1997
Nieminen, Ville | Finland | 2005–2006
Nieves, Cristoval | United States | 2016–2019
Nilan, Chris | United States | 1987–1990
Nilsson, Ulf | Sweden | 1978–1983
Noonan, Brian | United States | 1993–19951996–1997
Norstrom, Mattias | Sweden | 1993–1996
Nycholat, Lawrence | Canada | 2003–2004
Nylander, Michael | Sweden | 2005–2007
O'Connor, Buddy | Canada | 1947–1951
O'Gara, Rob | United States | 2017–2018
Oatman, Russell | Canada | 1928–1929
Ogrodnick, John | Canada | 1987–1992
Olczyk, Ed | United States | 1992–1995
Oliver, David | Canada | 1996–1997
Oliwa, Krzysztof | Poland | 2002–2003
Orr, Colton | Canada | 2005–2009
Ortmeyer, Jed | United States | 2003–2007
Osborne, Mark | Canada | 1983–19871994–1995
Ozolinsh, Sandis | Latvia | 2005–2007
Paiement, Wilf | Canada | 1985–1986
Paille, Daniel | Canada | 2015–2016
Palazzari, Aldo | United States | 1943–1944
Parenteau, P. A. | Canada | 2009–2010
Park, Brad | Canada | 1968–1976
Paterson, Joe | Canada | 1987–1989
Patey, Larry | Canada | 1983–1985
Patrick, James | Canada | 1983–1994
Patrick, Lester | Canada | 1926–1927
Patrick, Lynn | Canada | 1934–1946
Patrick, Murray | Canada | 1937–1946
Patrick, Steve | Canada | 1984–1986
Pavelich, Mark | United States | 1981–1986
Pavese, Jim | United States | 1987–1988
Pearson, Mel | Canada | 1959–1965
Perreault, Fern | Canada | 1947–1950
Peters, Frank | United States | 1930–1931
Peters, Garry | Canada | 1965–1966
Petit, Michel | Canada | 1987–1989
Petrovicky, Ronald | Slovakia | 2002–2003
Pettinger, Gordon | Great Britain | 1932–1933
Pichette, Dave | Canada | 1987–1988
Pike, Alfred | Canada | 1939–1947
Pilon, Rich | Canada | 1999–2001
Pionk, Neal | United States | 2017–2019
Pirri, Brandon | Canada | 2016–2017
Pisa, Ales | Czech Republic | 2002–2003
Plager, Bob | Canada | 1964–1967
Plante, Pierre | Canada | 1978–1979
Pock, Thomas | Austria | 2003–2008
Poddubny, Walt | Canada | 1986–1988
Poeschek, Rudy | Canada | 1987–1990
Poile, Bud | Canada | 1949–1950
Polich, John | United States | 1939–1941
Polis, Greg | Canada | 1974–1979
Popein, Larry | Canada | 1954–1961
Popovic, Peter | Sweden | 1998–1999
Poti, Tom | United States | 2001–2006
Potter, Corey | United States | 2008–2010
Pouliot, Benoit | Canada | 2013–2014
Pratt, Babe | Canada | 1935–1943
Prentice, Dean | Canada | 1952–1963
Presley, Wayne | United States | 1995–1996
Price, Noel | Canada | 1959–1961
Price, Pat | Canada | 1986–1987
Pronger, Sean | Canada | 1998–1999
Prospal, Vaclav | Czech Republic | 2009–2011
Prucha, Petr | Czech Republic | 2005–2009
Prust, Brandon | Canada | 2009–2012
Puempel, Matt | Canada | 2016–2017
Purinton, Dale | United States | 1999–2004
Pushor, Jamie | Canada | 2003–2004
Pusie, Jean | Canada | 1933–1934
Quenneville, Leo | Canada | 1929–1930
Quintal, Stephane | Canada | 1999–2000
Rachunek, Karel | Czech Republic | 2003–2007
Raleigh, Don | Canada | 1943–1956
Ratelle, Jean | Canada | 1960–1976
Read, Melvin | Canada | 1946–1947
Redden, Wade | Canada | 2008–2010
Regan, Bill | Canada | 1929–1933
Reinnika, Ollie | Canada | 1926–1927
Reise, Leo | Canada | 1929–1930
Reise, Jr., Leo | Canada | 1952–1954
Rheaume, Pascal | Canada | 2003–2004
Rice, Steven | Canada | 1990–1991
Richards, Brad | Canada | 2011–2014
Richardson, Dave | Canada | 1963–1965
Richmond, Steve | United States | 1983–1986
Richter, Barry | United States | 1995–1996
Ridley, Mike | Canada | 1985–1987
Ripley, Vic | Canada | 1933–1935
Ritson, Alex | Canada | 1944–1945
Rivers, Wayne | Canada | 1968–1969
Robertsson, Bert | Sweden | 2000–2001
Robinson, Doug | Canada | 1964–1967
Robitaille, Luc | Canada | 1995–1997
Robitaille, Mike | Canada | 1969–1971
Rochefort, Leon | Canada | 1960–1963
Rochefort, Normand | Canada | 1988–1992
Rodden, Eddie | Canada | 1930–1931
Rogers, Mike | Canada | 1981–1986
Rolfe, Dale | Canada | 1970–1975
Ronson, Len | Canada | 1960–1961
Ronty, Paul | Canada | 1951–1955
Ross, Jim | Scotland | 1951–1953
Rousseau, Bobby | Canada | 1971–1975
Rowe, Ronnie | Canada | 1947–1948
Roy, Jean-Yves | Canada | 1994–1995
Rozsival, Michal | Czech Republic | 2005–2011
Rucchin, Steve | Canada | 2005–2006
Rucinsky, Martin | Czech Republic | 2001–20022003–20042005–2006
Ruff, Lindy | Canada | 1988–1991
Ruotsalainen, Reijo | Finland | 1981–1986
Rupp, Duane | Canada | 1962–1963
Rupp, Mike | United States | 2011–2013
Russell, Church | Canada | 1945–1948
Saarinen, Simo | Finland | 1984–1985
Sacharuk, Larry | Canada | 1972–19741975–1977
Samuelsson, Kjell | Sweden | 1985–1987
Samuelsson, Mikael | Sweden | 2001–2003
Samuelsson, Ulf | Sweden | 1995–1999
Sands, Charlie | Canada | 1943–1944
Sanderson, Derek | Canada | 1974–1976
Sandstrom, Tomas | Sweden | 1984–1990
Sanguinetti, Bobby | United States | 2009–2010
Sather, Glen | Canada | 1970–1974
Sauer, Michael | United States | 2008–2012
Savard, Marc | Canada | 1997–1999
Scherza, Chuck | Canada | 1943–1945
Schinkel, Ken | Canada | 1959–1967
Schneider, Mathieu | United States | 1998–2000
Scott, Laurie | Canada | 1927–1928
Scott, Richard | Canada | 2001–2004
Seibert, Earl | Canada | 1931–1936
Seiling, Rod | Canada | 1963–1975
Senick, George | Canada | 1952–1953
Sevigny, Pierre | Canada | 1997–1998
Shack, Eddie | Canada | 1958–1961
Shack, Joe | Canada | 1942–1945
Shanahan, Brendan | Canada | 2006–2008
Shattenkirk, Kevin | United States | 2017–2019
Shaw, David | Canada | 1987–1992
Sheehan, Bobby | United States | 1978–1979
Shelley, Jody | Canada | 2009–2010
Shibicky, Alex | Canada | 1935–1946
Siebert, Albert Babe | Canada | 1932–1934
Siklenka, Mike | Canada | 2003–2004
Silk, Dave | United States | 1979–1983
Siltala, Mike | Canada | 1986–1988
Simon, Chris | Canada | 2003–2004
Sinclair, Reggie | Canada | 1950–1952
Sjostrom, Fredrik | Sweden | 2007–2009
Skjei, Brady | United States | 2015–2019
Skrudland, Brian | Canada | 1997–1998
Slowinski, Ed | Canada | 1947–1953
Smith, Brendan | Canada | 2016–2019
Smith, Clint | Canada | 1936–1943
Smith, Dallas | Canada | 1977–1978
Smith, Don | Canada | 1949–1950
Smith, Floyd | Canada | 1960–1961
Smith, Geoff | Canada | 1997–1999
Smith, Stanford | Canada | 1939–1941
Smrek, Peter | Slovakia | 2000–2002
Smyth, Brad | Canada | 1997–19982000–2001
Somers, Art | Canada | 1932–1935
Sonmor, Glen | Canada | 1953–1955
Spencer, Irv | Canada | 1959–1962
Spooner, Ryan | Canada | 2017–2019
Sproul, Ryan | Canada | 2017–2018
Staal, Eric | Canada | 2015–2016
Staal, Marc | Canada | 2007–2019
Stalberg, Viktor | Sweden | 2015–2016
Staley, Al | Canada | 1948–1949
Stanley, Allan | Canada | 1948–1955
Stanowski, Wally | Canada | 1948–1951
Starr, Harold | Canada | 1934–1936
Stefanski, Bud | Canada | 1977–1978
Stemkowski, Pete | Canada | 1970–1977
Stepan, Derek | United States | 2010–2017
Sterner, Ulf | Sweden | 1964–1965
Stevens, Kevin | United States | 1997–2000
Stewart, Gaye | Canada | 1951–1953
Stewart, Ron | Canada | 1967–19711971–1973
Stock, P. J. | Canada | 1997–2000
Stoddard, Jack | Canada | 1951–1953
Stoughton, Blaine | Canada | 1983–1984
Strain, Neil | Canada | 1952–1953
Straka, Martin | Czech Republic | 2005–2008
Stralman, Anton | Sweden | 2011–2014
Stratton, Art | Sweden | 1959–1960
Strobel, Art | Canada | 1943–1944
Strome, Ryan | Canada | 2018–2019
Strudwick, Jason | Canada | 2005–2008
Summers, Chris | United States | 2014–2016
Sundin, Ronnie | Sweden | 1997–1998
Sundstrom, Niklas | Sweden | 1995–1999
Sundstrom, Peter | Sweden | 1983–1986
Sweeney, Bill | Canada | 1959–1960
Sweeney, Tim | United States | 1997–1998
Sullivan, George | Canada | 1956–1961
Sykora, Petr | Czech Republic | 2005–2006
Taffe, Jeff | United States | 2005–2006
Talafous, Dean | United States | 1978–1982
Talakoski, Ron | Canada | 1986–1988
Tamer, Chris | United States | 1998–1999
Tatchell, Spence | Canada | 1942–1943
Taylor, Billy | Canada | 1947–1948
Taylor, Billy | Canada | 1964–1965
Taylor, Ralph | Canada | 1929–1930
Taylor, Ted | Canada | 1964–1966
Taylor, Tim | Canada | 1999–2001
Thompson, Paul | Canada | 1926–1931
Thurier, Fred | Canada | 1944–1945
Tibbetts, Billy | United States | 2002–2003
Tikkanen, Esa | Finland | 1992–19941998–1999
Tinordi, Mark | Canada | 1987–1988
Tkaczuk, Walt | Germany | 1967–1981
Toms, Jeff | Canada | 2000–2002
Toppazzini, Zellio | Canada | 1950–1952
Trainor, Wes | Canada | 1948–1949
Tripp, John | Canada | 2002–2003
Trottier, Guy | Canada | 1968–1969
Turcotte, Darren | United States | 1988–1994
Trudell, Rene | Canada | 1945–1948
Tustin, Norman | Canada | 1941–1942
Tuzzolino, Tony | United States | 2000–2001
Tyutin, Fedor | Russia | 2003–2008
Ulanov, Igor | Russia | 2001–2002
Ulmer, Jeff | Canada | 2001–2002
Ulmer, Layne | Canada | 2003–2004
Vadnais, Carol | Canada | 1975–1982
Vail, Melville | Canada | 1928–1930
VandenBussche, Ryan | Canada | 1996–1998
Vasiliev, Alexei | Russia | 1997–1998
Verbeek, Pat | Canada | 1994–1996
Vesey, Jimmy | United States | 2016–2019
Vial, Dennis | Canada | 1990–1991
Vickers, Steve | Canada | 1972–1982
Virtue, Terry | Canada | 1999–2000
Vorobiev, Vladimir | Russia | 1996–1998
Voros, Aaron | Canada | 2008–2010
Voss, Carl | United States | 1932–1933
Waite, Frank | Canada | 1930–1931
Walker, Gordie | Canada | 1986–1988
Wallin, Peter | Sweden | 1980–1982
Ward, Aaron | Canada | 2006–2007
Ward, Dixon | Canada | 2002–2003
Ward, Jason | Canada | 2005–2007
Wares, Eddie | Canada | 1936–1937
Warwick, Bill | Canada | 1942–1944
Warwick, Grant | Canada | 1941–1948
Watson, Phil | Canada | 1935–19431944–1948
Webster, John | Canada | 1949–1950
Weight, Doug | United States | 1991–1993
Weise, Dale | Canada | 2010–2011
Wells, Jay | Canada | 1991–1995
Wharton, Len | Canada | 1944–1945
Wheeldon, Simon | Canada | 1988–1989
Whistle, Rob | Canada | 1985–1986
White, Sherman | Canada | 1946–19471949–1950
White, Todd | Canada | 2010–2011
Whitfield, Trent | Canada | 2001–2002
Wickenheiser, Doug | Canada | 1988–1989
Widing, Juha | Finland | 1969–1970
Wiemer, Jim | Canada | 1984–1986
Wilkie, David | United States | 2000–2001
Williams, Jeremy | Canada | 2010–2011
Williams, Tom | Canada | 1971–1974
Wilson, Bert | Canada | 1973–1975
Wilson, Carey | Canada | 1988–1990
Wilson, Johnny | Canada | 1960–1962
Wilson, Mike | Canada | 2002–2003
Wiseman, Chad | Canada | 2003–2006
Witehall, Johan | Sweden | 1998–2001
Wolski, Wojtek | Poland | 2010–2012
Wood, Bob | Canada | 1950–1951
Woywitka, Jeff | Canada | 2011–2012
Wylie, Bill | Canada | 1950–1951
York, Harry | Canada | 1997–1999
York, Mike | United States | 1999–2002
Younghans, Tom | United States | 1981–1982
Yandle, Keith | United States | 2014–2016
Zamuner, Rob | Canada | 1991–1992
Zanussi, Joe | Canada | 1974–1975
Zherdev, Nikolay | Ukraine | 2008–2009
Zibanejad, Mika | Sweden | 2016–2019
Zubov, Sergei | Russia | 1992–1995
Zuccarello, Mats | Norway | 2010–2019


Total Goaltenders: 83
Total Skaters: 931
